year,state,age,total_marriages,marriage_rate,actual_population,marriage_rate_per_1000_population
2022,Melaka,45-49,334,114.8,57500,5.808695652
2018,Sarawak,55-59,155,27.1,127700,1.213782302
2022,Melaka,50-54,210,69.1,41000,5.12195122
2018,Sarawak,60-64,108,16.9,103300,1.045498548
2022,Melaka,55-59,149,44.6,39400,3.781725888
2018,Sarawak,65+,31,1.5,202200,0.153313551
2022,Melaka,60-64,94,29.5,37800,2.486772487
2018,Sarawak,all,30778,44,2791700,11.02482358
2022,Melaka,65+,98,9.1,66900,1.464872945
2018,Selangor,< 20,1211,1.3,1982900,0.61072167
2018,Selangor,20-24,14232,73.3,560900,25.37350686
2018,Selangor,25-29,31297,218.2,675400,46.33846609
2018,Selangor,30-34,14779,180.8,719000,20.55493741
2018,Selangor,35-39,5833,131.7,601500,9.697423109
2018,Selangor,40-44,2782,112.2,452900,6.142636344
2018,Selangor,45-49,1526,86.4,382400,3.990585774
2018,Selangor,50-54,955,61.8,319800,2.986241401
2018,Selangor,55-59,537,39.6,261500,2.053537285
2018,Selangor,60-64,290,22.3,195000,1.487179487
2018,Selangor,65+,289,8.6,323700,0.892801977
2018,Selangor,all,73731,45.5,6475000,11.38702703
2018,Terengganu,< 20,682,2.8,493700,1.381405712
2018,Terengganu,20-24,5759,121.1,125700,45.81543357
2018,Terengganu,25-29,9571,353,118500,80.76793249
2018,Terengganu,30-34,2926,267.9,92100,31.76981542
2018,Terengganu,35-39,1086,209.1,69200,15.69364162
2018,Terengganu,40-44,559,161.9,59700,9.363484087
2018,Terengganu,45-49,376,151.9,57100,6.584938704
2018,Terengganu,50-54,271,114.5,55400,4.891696751
2018,Terengganu,55-59,204,93.1,50200,4.06374502
2018,Terengganu,60-64,137,52.4,38800,3.530927835
2018,Terengganu,65+,189,23.7,68000,2.779411765
2018,Terengganu,all,21760,58.3,1228300,17.71554181
2019,Negeri Sembilan,all,17195,56.7,1126200,15.26815841
2019,Negeri Sembilan,< 20,342,2,360800,0.94789357
2019,Negeri Sembilan,20-24,3322,84.1,113700,29.21723835
2019,Negeri Sembilan,25-29,7362,290.4,110800,66.44404332
2019,Negeri Sembilan,30-34,3105,277.8,95400,32.54716981
2019,Negeri Sembilan,35-39,1369,232.8,73000,18.75342466
2019,Negeri Sembilan,40-44,654,162,62600,10.44728435
2019,Negeri Sembilan,45-49,347,101.3,58600,5.921501706
2019,Negeri Sembilan,50-54,264,80.9,56700,4.656084656
2019,Negeri Sembilan,55-59,200,68.1,55000,3.636363636
2019,Negeri Sembilan,60-64,113,34.7,48800,2.31557377
2019,Negeri Sembilan,65+,117,12.2,90700,1.289966924
2020,Negeri Sembilan,all,16240,53.9,1200000,13.53333333
2020,Negeri Sembilan,< 20,292,1.7,401700,0.72691063
2020,Negeri Sembilan,20-24,3305,84.8,100800,32.78769841
2020,Negeri Sembilan,25-29,7013,277.1,101300,69.23000987
2020,Negeri Sembilan,30-34,2796,248.5,110700,25.25745257
2020,Negeri Sembilan,35-39,1238,204.5,102600,12.0662768
2020,Negeri Sembilan,40-44,569,141.3,76300,7.45740498
2020,Negeri Sembilan,45-49,342,99.7,62800,5.445859873
2020,Negeri Sembilan,50-54,250,72.5,53800,4.646840149
2020,Negeri Sembilan,55-59,186,61.8,63000,2.952380952
2020,Negeri Sembilan,60-64,118,36.3,45700,2.582056893
2020,Negeri Sembilan,65+,131,12.8,81400,1.609336609
2021,Negeri Sembilan,all,18655,54.3,1204200,15.49161269
2021,Negeri Sembilan,< 20,275,1.4,398300,0.690434346
2021,Negeri Sembilan,20-24,3789,74.4,103200,36.71511628
2021,Negeri Sembilan,25-29,8397,224.7,96900,86.65634675
2021,Negeri Sembilan,30-34,3158,182.4,107900,29.26784059
2021,Negeri Sembilan,35-39,1387,175.5,105100,13.19695528
2021,Negeri Sembilan,40-44,662,145.1,78500,8.433121019
2021,Negeri Sembilan,45-49,351,107.4,64800,5.416666667
2021,Negeri Sembilan,50-54,236,84.7,53400,4.419475655
2021,Negeri Sembilan,55-59,156,60.7,60500,2.578512397
2021,Negeri Sembilan,60-64,128,44,49500,2.585858586
2021,Negeri Sembilan,65+,116,11.4,86000,1.348837209
2022,Negeri Sembilan,all,17758,51.7,1207900,14.70154814
2022,Negeri Sembilan,< 20,239,1.2,395800,0.603840323
2022,Negeri Sembilan,20-24,3149,62,104500,30.13397129
2022,Negeri Sembilan,25-29,7531,202,94200,79.94692144
2022,Negeri Sembilan,30-34,3318,192.3,108000,30.72222222
2022,Negeri Sembilan,35-39,1499,190.2,105100,14.26260704
2022,Negeri Sembilan,40-44,759,166.6,82600,9.188861985
2022,Negeri Sembilan,45-49,452,138.5,64700,6.986089645
2022,Negeri Sembilan,50-54,276,99.6,54800,5.03649635
2022,Negeri Sembilan,55-59,230,89.3,56500,4.07079646
2022,Negeri Sembilan,60-64,168,57.7,53500,3.140186916
2022,Negeri Sembilan,65+,137,13.5,88300,1.551528879
2019,Pahang,< 20,925,3.4,569700,1.623661576
2019,Pahang,20-24,5468,101.8,164900,33.1594906
2019,Pahang,25-29,9485,318.3,168500,56.29080119
2019,Pahang,30-34,3627,257.4,137300,26.41660597
2019,Pahang,35-39,1716,183.2,128600,13.3437014
2019,Pahang,40-44,859,167,88200,9.739229025
2019,Pahang,45-49,510,127.3,81000,6.296296296
2019,Pahang,50-54,419,100.6,77200,5.42746114
2019,Pahang,55-59,279,73.6,73400,3.801089918
2019,Pahang,60-64,163,42.1,61700,2.641815235
2019,Pahang,65+,233,15.5,121000,1.925619835
2019,Pahang,all,23684,53.3,1671400,14.17015675
2019,Perak,< 20,961,2.6,759400,1.265472742
2019,Perak,20-24,7390,89,251900,29.33703851
2019,Perak,25-29,14822,275.6,239500,61.88726514
2019,Perak,30-34,6510,290.4,193200,33.69565217
2019,Perak,35-39,2880,242.1,146000,19.7260274
2019,Perak,40-44,1440,173.5,132400,10.87613293
2019,Perak,45-49,849,113.7,130200,6.520737327
2019,Perak,50-54,604,71.7,137200,4.402332362
2019,Perak,55-59,435,56.1,133800,3.251121076
2019,Perak,60-64,263,30.3,119100,2.20822838
2019,Perak,65+,250,8.9,266100,0.93949643
2019,Perak,all,36404,56.3,2508800,14.51052296
2019,Perlis,< 20,151,3.7,82300,1.834750911
2020,Pahang,all,21254,48.1,1591300,13.35637529
2019,Perlis,20-24,1004,115.2,23000,43.65217391
2020,Pahang,< 20,720,2.7,581600,1.237964237
2019,Perlis,25-29,1560,278.1,29200,53.42465753
2020,Pahang,20-24,5042,95.4,122200,41.26022913
2019,Perlis,30-34,567,285.3,20800,27.25961538
2020,Pahang,25-29,8677,286.5,121300,71.53338829
2019,Perlis,35-39,240,243.7,15500,15.48387097
2020,Pahang,30-34,3229,224.4,133700,24.15108452
2019,Perlis,40-44,119,171.5,12100,9.834710744
2020,Pahang,35-39,1435,146.8,137200,10.45918367
2019,Perlis,45-49,98,181.2,11300,8.672566372
2020,Pahang,40-44,771,144.7,120100,6.419650291
2019,Perlis,50-54,62,85.6,13100,4.732824427
2020,Pahang,45-49,470,117.6,89000,5.280898876
2019,Perlis,55-59,54,94.6,12600,4.285714286
2020,Pahang,50-54,303,74.6,69600,4.353448276
2019,Perlis,60-64,42,61.9,11000,3.818181818
2020,Pahang,55-59,225,57.4,66700,3.373313343
2019,Perlis,65+,64,29.2,23200,2.75862069
2020,Pahang,60-64,154,37.6,49600,3.10483871
2019,Perlis,all,3961,58.7,254000,15.59448819
2020,Pahang,65+,228,14.2,100300,2.273180459
2019,Pulau Pinang,< 20,367,1.7,467300,0.785362722
2021,Pahang,all,21707,48.2,1601500,13.55416797
2019,Pulau Pinang,20-24,3666,54.2,169000,21.69230769
2021,Pahang,< 20,552,2,578400,0.954356846
2019,Pulau Pinang,25-29,7489,164.5,177800,42.12035996
2021,Pahang,20-24,5348,99.5,127200,42.04402516
2019,Pulau Pinang,30-34,4001,179.2,157100,25.46785487
2021,Pahang,25-29,9120,298.9,119300,76.44593462
2019,Pulau Pinang,35-39,1674,124,144500,11.58477509
2021,Pahang,30-34,3358,229.8,129900,25.85065435
2019,Pulau Pinang,40-44,772,90.4,118400,6.52027027
2021,Pahang,35-39,1411,142.2,136500,10.33699634
2019,Pulau Pinang,45-49,473,62.8,112200,4.215686275
2021,Pahang,40-44,683,126.2,124800,5.47275641
2019,Pulau Pinang,50-54,259,36.8,102600,2.524366472
2021,Pahang,45-49,456,111.5,91300,4.994523549
2019,Pulau Pinang,55-59,191,31.9,89100,2.14365881
2021,Pahang,50-54,281,66.1,71400,3.93557423
2019,Pulau Pinang,60-64,74,12.2,77400,0.956072351
2021,Pahang,55-59,187,48.7,64800,2.885802469
2019,Pulau Pinang,65+,82,5.3,153500,0.534201954
2021,Pahang,60-64,142,33.1,53900,2.634508349
2019,Pulau Pinang,all,19048,42.1,1768800,10.76888286
2021,Pahang,65+,169,10.3,104100,1.623439001
2019,Sabah,< 20,1307,2,1350500,0.967789708
2022,Pahang,all,21285,47.1,1614300,13.18528155
2019,Sabah,20-24,7205,52.7,465200,15.48796217
2022,Pahang,< 20,531,1.9,575000,0.923478261
2019,Sabah,25-29,12214,126.7,490400,24.90619902
2022,Pahang,20-24,4717,87.6,131300,35.92536177
2019,Sabah,30-34,6144,145.8,368700,16.66395443
2022,Pahang,25-29,8118,267.7,119500,67.93305439
2019,Sabah,35-39,2522,104,318500,7.918367347
2022,Pahang,30-34,3517,245.5,129600,27.13734568
2019,Sabah,40-44,1094,79.2,224600,4.870881567
2022,Pahang,35-39,1744,176.7,134000,13.01492537
2019,Sabah,45-49,608,63.3,182100,3.338824822
2022,Pahang,40-44,947,176.3,129100,7.335398916
2019,Sabah,50-54,386,46.8,152100,2.537804076
2022,Pahang,45-49,587,143.1,94200,6.231422505
2019,Sabah,55-59,246,35.4,124600,1.974317817
2022,Pahang,50-54,395,92.7,74600,5.294906166
2019,Sabah,60-64,134,18.3,93200,1.43776824
2022,Pahang,55-59,282,71.1,63400,4.447949527
2019,Sabah,65+,102,6.5,134600,0.757800892
2022,Pahang,60-64,186,40.3,56600,3.286219081
2019,Sabah,all,31962,30.5,3904400,8.18614896
2022,Pahang,65+,261,15.8,106900,2.441534144
2019,Sarawak,< 20,2334,5.4,897200,2.601426661
2019,Sarawak,20-24,8083,105.8,281600,28.70383523
2019,Sarawak,25-29,10076,179.9,283100,35.59166372
2019,Sarawak,30-34,4798,188.7,227800,21.06233538
2019,Sarawak,35-39,2051,138.9,194800,10.52874743
2019,Sarawak,40-44,910,99.7,161700,5.627705628
2019,Sarawak,45-49,564,78,160800,3.507462687
2019,Sarawak,50-54,308,45.5,148700,2.071284465
2019,Sarawak,55-59,170,27.1,131500,1.292775665
2019,Sarawak,60-64,112,18.1,106100,1.055607917
2019,Sarawak,65+,29,1.3,212800,0.136278195
2019,Sarawak,all,29435,42.3,2806000,10.49002138
2019,Selangor,< 20,1036,1.1,1986700,0.521467761
2019,Selangor,20-24,13238,69.5,551100,24.02104881
2019,Selangor,25-29,31600,234,635300,49.74028018
2019,Selangor,30-34,14328,177.6,711200,20.14623172
2019,Selangor,35-39,6232,135.8,624600,9.977585655
2019,Selangor,40-44,2899,114.1,462400,6.269463668
2019,Selangor,45-49,1635,89.2,391700,4.174112841
2019,Selangor,50-54,983,62.1,326300,3.012565124
2019,Selangor,55-59,630,45.4,270600,2.328159645
2019,Selangor,60-64,339,25.4,204800,1.655273438
2019,Selangor,65+,285,8,341500,0.834553441
2019,Selangor,all,73205,45.3,6506100,11.25174836
2019,Terengganu,< 20,579,2.3,497700,1.163351417
2019,Terengganu,20-24,5275,112.8,123100,42.85134037
2019,Terengganu,25-29,9308,337.3,120800,77.05298013
2019,Terengganu,30-34,2888,252,96600,29.89648033
2019,Terengganu,35-39,1010,182.1,72000,14.02777778
2019,Terengganu,40-44,539,154,60200,8.953488372
2019,Terengganu,45-49,354,143,57000,6.210526316
2019,Terengganu,50-54,229,93.7,55200,4.148550725
2019,Terengganu,55-59,176,78.4,51100,3.444227006
2019,Terengganu,60-64,105,39.3,40400,2.599009901
2019,Terengganu,65+,185,23.2,70500,2.624113475
2019,Terengganu,all,20648,54.8,1244500,16.59140217
2020,Perak,all,33669,52.6,2496000,13.48918269
2020,Perak,< 20,826,2.3,801200,1.03095357
2020,Perak,20-24,7465,91.1,220000,33.93181818
2020,Perak,25-29,13870,252.5,187400,74.01280683
2020,Perak,30-34,5665,245.8,189900,29.83149026
2020,Perak,35-39,2520,206.7,192300,13.10452418
2020,Perak,40-44,1224,149.1,168200,7.27705113
2020,Perak,45-49,689,93.8,135400,5.088626292
2020,Perak,50-54,494,58.9,128700,3.838383838
2020,Perak,55-59,384,47.6,138100,2.780593773
2020,Perak,60-64,258,30.9,111700,2.309758281
2020,Perak,65+,274,9.1,223300,1.227048813
2021,Perak,all,36572,52.4,2515800,14.53692662
2021,Perak,< 20,791,2,792700,0.997855431
2021,Perak,20-24,8370,94.6,226800,36.9047619
2021,Perak,25-29,15702,264.6,192800,81.44190871
2021,Perak,30-34,5850,234.5,185400,31.55339806
2021,Perak,35-39,2639,201.1,194500,13.56812339
2021,Perak,40-44,1202,133.4,171800,6.996507567
2021,Perak,45-49,691,86.3,139300,4.96051687
2021,Perak,50-54,468,51.5,127100,3.682140047
2021,Perak,55-59,346,37.3,133800,2.585949178
2021,Perak,60-64,234,23,117300,1.99488491
2021,Perak,65+,279,8.6,234200,1.191289496
2022,Perak,all,34466,49.6,2514400,13.70744512
2022,Perak,< 20,602,1.5,781500,0.7703135
2022,Perak,20-24,6788,77,228200,29.74583699
2022,Perak,25-29,13853,235.9,197700,70.07081437
2022,Perak,30-34,6358,260.5,183000,34.7431694
2022,Perak,35-39,2907,222.1,191600,15.17223382
2022,Perak,40-44,1453,164,176200,8.24631101
2022,Perak,45-49,892,111.4,140000,6.371428571
2022,Perak,50-54,567,61.8,126600,4.478672986
2022,Perak,55-59,435,48.1,127300,3.417124902
2022,Perak,60-64,299,29.5,122600,2.438825449
2022,Perak,65+,312,9.7,239700,1.301627034
2020,Perlis,all,4155,62,284900,14.58406458
2020,Perlis,< 20,168,4.1,95300,1.762854145
2020,Perlis,20-24,1109,138.2,32300,34.33436533
2020,Perlis,25-29,1585,281.1,20900,75.83732057
2020,Perlis,30-34,548,258,19600,27.95918367
2020,Perlis,35-39,257,241.1,19300,13.31606218
2020,Perlis,40-44,154,215.2,25900,5.945945946
2020,Perlis,45-49,84,161.1,13100,6.41221374
2020,Perlis,50-54,87,136.1,12500,6.96
2020,Perlis,55-59,58,91.9,13000,4.461538462
2020,Perlis,60-64,43,69.8,10500,4.095238095
2020,Perlis,65+,62,26.7,22400,2.767857143
2021,Perlis,all,4585,55.8,287600,15.94228095
2021,Perlis,< 20,175,3.6,92700,1.88781014
2021,Perlis,20-24,1203,123,33700,35.69732938
2021,Perlis,25-29,1757,259.2,23000,76.39130435
2021,Perlis,30-34,699,276.3,18700,37.37967914
2021,Perlis,35-39,262,202.4,20400,12.84313725
2021,Perlis,40-44,154,175.8,24900,6.184738956
2021,Perlis,45-49,92,135.1,15200,6.052631579
2021,Perlis,50-54,66,81.7,12200,5.409836066
2021,Perlis,55-59,62,88.6,12700,4.881889764
2021,Perlis,60-64,50,64,11100,4.504504505
2021,Perlis,65+,65,22.1,23000,2.826086957
2020,Pulau Pinang,< 20,272,1.2,477500,0.569633508
2022,Perlis,all,4363,53.2,289800,15.05521049
2020,Pulau Pinang,20-24,3629,55.1,162300,22.35982748
2022,Perlis,< 20,143,2.9,89400,1.599552573
2020,Pulau Pinang,25-29,7329,161.3,175000,41.88
2022,Perlis,20-24,979,100.8,34900,28.05157593
2020,Pulau Pinang,30-34,3408,153.9,153700,22.17306441
2022,Perlis,25-29,1568,233.9,25400,61.73228346
2020,Pulau Pinang,35-39,1517,111.1,147600,10.27777778
2022,Perlis,30-34,668,263.8,19100,34.97382199
2020,Pulau Pinang,40-44,629,72.8,119800,5.250417362
2022,Perlis,35-39,346,277.5,20300,17.04433498
2020,Pulau Pinang,45-49,346,46.1,113300,3.053839365
2022,Perlis,40-44,184,214.3,23900,7.69874477
2020,Pulau Pinang,50-54,175,25.3,105000,1.666666667
2022,Perlis,45-49,157,238.2,17400,9.022988506
2020,Pulau Pinang,55-59,135,20.4,91400,1.47702407
2022,Perlis,50-54,119,145.8,12200,9.754098361
2020,Pulau Pinang,60-64,77,13.2,79800,0.964912281
2022,Perlis,55-59,86,103.3,12300,6.991869919
2020,Pulau Pinang,65+,53,2.9,115100,0.460469157
2022,Perlis,60-64,50,72.1,11500,4.347826087
2020,Pulau Pinang,all,17570,39.2,1740400,10.09538037
2022,Perlis,65+,63,20.8,23300,2.703862661
2020,Sabah,< 20,976,1.5,1258500,0.77552642
2020,Sabah,20-24,5573,41.7,349500,15.94563662
2020,Sabah,25-29,9246,97,374300,24.70211061
2020,Sabah,30-34,4635,110.3,302500,15.32231405
2020,Sabah,35-39,1927,78.9,276200,6.976828385
2020,Sabah,40-44,888,63,191800,4.629822732
2020,Sabah,45-49,454,47.3,155300,2.923374115
2020,Sabah,50-54,299,37.7,128800,2.321428571
2020,Sabah,55-59,163,22.7,105200,1.549429658
2020,Sabah,60-64,82,10.9,84700,0.968122786
2020,Sabah,65+,65,3.9,192000,0.338541667
2020,Sabah,all,24308,23.5,3418800,7.11009711
2020,Sarawak,< 20,2177,5.2,753400,2.889567295
2020,Sarawak,20-24,7401,97.7,210800,35.10910816
2020,Sarawak,25-29,8850,155.5,222600,39.7574124
2020,Sarawak,30-34,4074,159,211000,19.30805687
2020,Sarawak,35-39,1737,115.9,188000,9.239361702
2020,Sarawak,40-44,821,90.1,164300,4.996956786
2020,Sarawak,45-49,451,61.3,153500,2.938110749
2020,Sarawak,50-54,237,34.6,138700,1.708723864
2020,Sarawak,55-59,141,23.3,128600,1.096423017
2020,Sarawak,60-64,93,14.3,98000,0.948979592
2020,Sarawak,65+,27,1.1,184800,0.146103896
2020,Sarawak,all,26009,37.7,2453700,10.59991034
2020,Selangor,< 20,721,0.8,2076300,0.347252324
2020,Selangor,20-24,11782,62.8,561100,20.99803957
2020,Selangor,25-29,28895,226.8,624100,46.29867008
2020,Selangor,30-34,11988,151.6,738700,16.22850954
2020,Selangor,35-39,4988,106.1,681700,7.317001614
2020,Selangor,40-44,2252,85.9,509000,4.424361493
2020,Selangor,45-49,1242,66.7,429300,2.893081761
2020,Selangor,50-54,721,43.1,358700,2.010036242
2020,Selangor,55-59,510,34.9,301100,1.693789439
2020,Selangor,60-64,242,16.9,231800,1.044003451
2020,Selangor,65+,247,6.4,482600,0.511811024
2020,Selangor,all,63588,39.5,6994400,9.091273018
2020,Terengganu,< 20,620,2.5,441900,1.40303236
2020,Terengganu,20-24,5681,122.5,107700,52.74837512
2020,Terengganu,25-29,8925,321.8,92100,96.90553746
2020,Terengganu,30-34,2891,244.9,90100,32.08657048
2020,Terengganu,35-39,1160,200.7,86500,13.41040462
2020,Terengganu,40-44,532,149.9,67100,7.928464978
2020,Terengganu,45-49,385,155.4,58900,6.536502547
2020,Terengganu,50-54,240,96.8,52300,4.588910134
2020,Terengganu,55-59,188,74.3,50500,3.722772277
2020,Terengganu,60-64,132,49.8,39100,3.375959079
2020,Terengganu,65+,179,21,63300,2.827804107
2020,Terengganu,all,20933,55.2,1149400,18.21211067
2021,Pulau Pinang,all,18815,41.3,1740000,10.81321839
2021,Pulau Pinang,< 20,277,1.2,467700,0.592259996
2021,Pulau Pinang,20-24,4263,64.3,158200,26.94690265
2021,Pulau Pinang,25-29,7959,173.3,174100,45.71510626
2021,Pulau Pinang,30-34,3442,153.5,152500,22.5704918
2021,Pulau Pinang,35-39,1408,100.9,149000,9.44966443
2021,Pulau Pinang,40-44,641,73,122300,5.241210139
2021,Pulau Pinang,45-49,365,46.9,113200,3.224381625
2021,Pulau Pinang,50-54,189,25.6,106300,1.77798683
2021,Pulau Pinang,55-59,120,18.1,93100,1.288936627
2021,Pulau Pinang,60-64,71,10.8,80900,0.8776267
2021,Pulau Pinang,65+,80,4.4,122500,0.653061224
2022,Pulau Pinang,all,20069,44.3,1740900,11.52794532
2022,Pulau Pinang,< 20,271,1.2,459100,0.590285341
2022,Pulau Pinang,20-24,3873,58.9,154900,25.00322789
2022,Pulau Pinang,25-29,7931,175,173100,45.81744656
2022,Pulau Pinang,30-34,4132,187.5,153600,26.90104167
2022,Pulau Pinang,35-39,1813,130.9,148900,12.17595702
2022,Pulau Pinang,40-44,875,100.3,126500,6.916996047
2022,Pulau Pinang,45-49,485,62.9,112600,4.307282416
2022,Pulau Pinang,50-54,257,35.4,107400,2.39292365
2022,Pulau Pinang,55-59,212,32.2,94700,2.238648363
2022,Pulau Pinang,60-64,97,14.4,81600,1.18872549
2022,Pulau Pinang,65+,123,7.1,128600,0.956454121
2021,Sabah,all,32727,33,3412600,9.590048643
2021,Sabah,< 20,919,1.5,1234500,0.744430944
2021,Sabah,20-24,6839,53.9,347900,19.65794769
2021,Sabah,25-29,13423,147.5,367600,36.51523395
2021,Sabah,30-34,6614,164.4,303900,21.76373807
2021,Sabah,35-39,2667,113.1,279800,9.531808435
2021,Sabah,40-44,1155,84.9,201200,5.74055666
2021,Sabah,45-49,513,55.5,156900,3.26959847
2021,Sabah,50-54,301,38.4,130700,2.302983933
2021,Sabah,55-59,168,24.5,107500,1.562790698
2021,Sabah,60-64,68,9.6,86800,0.783410138
2021,Sabah,65+,60,3.8,195700,0.306591722
2022,Sabah,all,33094,33.8,3414900,9.691059767
2022,Sabah,< 20,887,1.5,1209000,0.733664185
2022,Sabah,20-24,6355,50.6,351300,18.08995161
2022,Sabah,25-29,12503,140,362600,34.48152234
2022,Sabah,30-34,7005,176.9,307300,22.79531403
2022,Sabah,35-39,3150,135.4,280700,11.22194514
2022,Sabah,40-44,1533,113.9,213800,7.170252572
2022,Sabah,45-49,744,80.1,158300,4.699936829
2022,Sabah,50-54,420,53.3,132600,3.167420814
2022,Sabah,55-59,232,32.9,109600,2.116788321
2022,Sabah,60-64,128,17,88400,1.447963801
2022,Sabah,65+,137,8.3,201600,0.679563492
2021,Sarawak,< 20,1962,4.8,744100,2.636742373
2021,Sarawak,20-24,7691,104.2,211800,36.31255902
2021,Sarawak,25-29,10624,191.5,221500,47.96388262
2021,Sarawak,30-34,5175,205.8,211500,24.46808511
2021,Sarawak,35-39,2011,137,191700,10.4903495
2021,Sarawak,40-44,1003,111.2,166800,6.013189448
2021,Sarawak,45-49,553,75.4,152800,3.619109948
2021,Sarawak,50-54,335,49.4,138600,2.417027417
2021,Sarawak,55-59,213,34.3,129400,1.646058733
2021,Sarawak,60-64,104,12.6,104000,1
2021,Sarawak,65+,155,6,193200,0.802277433
2021,Sarawak,all,29826,44,2465600,12.09685269
2021,Selangor,< 20,799,0.7,2051600,0.389452135
2021,Selangor,20-24,15535,74.7,561200,27.68175339
2021,Selangor,25-29,38065,270.3,593700,64.11487283
2021,Selangor,30-34,15239,173.1,715800,21.28946633
2021,Selangor,35-39,5919,112,697200,8.489672978
2021,Selangor,40-44,2520,84.8,532600,4.731505821
2021,Selangor,45-49,1298,59.8,437700,2.965501485
2021,Selangor,50-54,737,39.5,368200,2.001629549
2021,Selangor,55-59,434,25.7,309500,1.402261712
2021,Selangor,60-64,259,14.9,242900,1.066282421
2021,Selangor,65+,244,5.4,504500,0.483647175
2021,Selangor,all,81049,44.9,7014700,11.55416483
2021,Terengganu,< 20,647,2.8,443300,1.459508234
2021,Terengganu,20-24,6009,140.7,114100,52.66432954
2021,Terengganu,25-29,10339,410.7,93000,111.172043
2021,Terengganu,30-34,3200,294.9,90300,35.43743079
2021,Terengganu,35-39,1299,244.8,88500,14.6779661
2021,Terengganu,40-44,617,186.7,71100,8.677918425
2021,Terengganu,45-49,410,172.2,59100,6.937394247
2021,Terengganu,50-54,270,114.4,53300,5.065666041
2021,Terengganu,55-59,194,82.6,50100,3.872255489
2021,Terengganu,60-64,136,50.9,41000,3.317073171
2021,Terengganu,65+,167,21,67000,2.492537313
2021,Terengganu,all,23288,66.3,1170700,19.89237209
2022,Sarawak,all,33089,49,2473500,13.37740044
2022,Sarawak,< 20,1541,3.8,732400,2.104041507
2022,Sarawak,20-24,8034,109.1,212300,37.84267546
2022,Sarawak,25-29,12054,220.6,219300,54.96580027
2022,Sarawak,30-34,6293,251.4,216200,29.10730805
2022,Sarawak,35-39,2526,174,192700,13.10845874
2022,Sarawak,40-44,1220,135.9,171200,7.126168224
2022,Sarawak,45-49,652,90.3,150800,4.323607427
2022,Sarawak,50-54,359,51.8,142600,2.517531557
2022,Sarawak,55-59,206,33.1,127100,1.620771046
2022,Sarawak,60-64,102,14.5,110400,0.923913043
2022,Sarawak,65+,102,4.3,198600,0.513595166
2022,Selangor,all,81416,45.2,7050300,11.5478774
2022,Selangor,< 20,878,0.9,2028200,0.432896164
2022,Selangor,20-24,13595,65.5,568600,23.90960253
2022,Selangor,25-29,35753,254.4,577200,61.94213444
2022,Selangor,30-34,16355,187.3,686200,23.83415914
2022,Selangor,35-39,7065,134.9,709300,9.960524461
2022,Selangor,40-44,3437,116.3,563500,6.099378882
2022,Selangor,45-49,1808,84.1,445200,4.061096137
2022,Selangor,50-54,1029,54.3,378500,2.718626156
2022,Selangor,55-59,690,40.2,316200,2.182163188
2022,Selangor,60-64,436,25.1,252700,1.725366047
2022,Selangor,65+,370,8.2,524900,0.704896171
2022,Terengganu,< 20,532,2.3,446800,1.190689346
2022,Terengganu,all,20925,58.9,1186600,17.63441766
2022,Terengganu,20-24,5100,118.1,116700,43.70179949
2022,Terengganu,25-29,8890,350,94400,94.17372881
2022,Terengganu,30-34,3129,290.3,91300,34.27163198
2022,Terengganu,35-39,1337,251.6,88500,15.10734463
2022,Terengganu,40-44,645,192.6,74600,8.646112601
2022,Terengganu,45-49,454,186.6,59400,7.643097643
2022,Terengganu,50-54,283,114.4,54400,5.202205882
2022,Terengganu,55-59,217,90,49400,4.392712551
2022,Terengganu,60-64,144,54.8,42500,3.388235294
2022,Terengganu,65+,194,24.6,68700,2.823871907
